QUECTION_REFF_ID|QUECTION|ANSWERS|CORRECT_ANSWERS
9021FD26-0310-2B5A-2735-EC4846CA6C38|lobortis. Class aptent taciti sociosqu ad litora|adipiscing. Mauris molestie pharetra nibh. Aliquam ornare,|Quisque ornare tortor at
4CB96C51-6DE1-5C42-EA14-C772D948456A|et netus|erat volutpat. Nulla dignissim. Maecenas ornare egestas ligula. Nullam feugiat|inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare.
C16243D8-8B69-5A14-8AC3-98B50BB922CB|ultricies sem magna nec|dictum|sapien. Aenean massa. Integer vitae
966DD45A-8C4E-FE64-498C-400E5812F67B|nisi. Mauris nulla. Integer urna. Vivamus molestie dapibus|et malesuada|luctus et ultrices posuere cubilia Curae; Phasellus ornare. Fusce mollis.
47769CEC-D4A9-A62B-AC5D-2EC0FB56DB5B|sed leo. Cras vehicula aliquet libero.|tellus. Nunc lectus pede, ultrices a, auctor non,|lorem fringilla
57B215D9-CAB0-D954-1055-49103287C9A6|volutpat. Nulla dignissim. Maecenas ornare egestas ligula.|odio vel est tempor bibendum. Donec felis orci, adipiscing non,|Donec at arcu. Vestibulum ante ipsum primis in faucibus
6120F6D1-A6A6-9A9B-F84D-4140A6D68DA8|erat eget ipsum. Suspendisse sagittis.|pellentesque eget, dictum placerat, augue. Sed molestie. Sed id risus|congue, elit sed consequat auctor, nunc
970E2CB5-CF27-53D5-89F4-8A47D25B42CB|luctus, ipsum|magna. Nam ligula elit, pretium et, rutrum non, hendrerit|faucibus ut, nulla. Cras
C8F60BE8-CAFF-FEBF-C358-E5384D923473|nibh. Aliquam|dolor dapibus gravida. Aliquam tincidunt, nunc ac|adipiscing elit. Curabitur sed tortor. Integer
4775A504-7DB5-32BD-220F-588B6A33BE02|sed pede. Cum|Cras dolor dolor, tempus non, lacinia at, iaculis quis, pede.|suscipit
F3A73FCA-96C9-C3C3-618E-80BF1ECFCCA8|eleifend egestas. Sed pharetra, felis eget varius ultrices, mauris|lobortis quam a felis ullamcorper viverra.|Sed auctor odio a purus. Duis elementum, dui quis accumsan
4806A5C3-13D4-BDC6-72E4-2EC799D8A4EF|dui. Cras pellentesque. Sed dictum. Proin eget odio. Aliquam vulputate|laoreet lectus quis massa. Mauris vestibulum, neque sed dictum|vitae aliquam eros turpis non enim. Mauris
9A1651A2-A77A-30B4-56B8-0BEB923AF3CA|ipsum. Curabitur consequat, lectus sit amet luctus vulputate, nisi|dictum ultricies|mi. Duis
E05BD445-BEFF-8B79-EC6E-1783867CC07A|est tempor bibendum. Donec felis orci, adipiscing non, luctus sit|Nulla aliquet.|nec, cursus a, enim.
1047CFF7-A52B-F7AF-83DA-6CDAF8D651B4|augue ac ipsum. Phasellus vitae|penatibus et magnis|massa rutrum magna. Cras convallis convallis dolor. Quisque tincidunt
0F02E3F0-CC2C-EFEF-3E45-BDC587CD8EC2|eleifend. Cras sed leo. Cras vehicula aliquet libero. Integer in|in, tempus eu, ligula. Aenean euismod|Curabitur egestas nunc sed libero. Proin sed turpis nec mauris
E1407C01-EB4F-9DB7-BDF6-F5EFC59D7534|enim.|bibendum|bibendum sed, est. Nunc laoreet lectus
E73469AD-0F7E-C6A2-0856-211DB75F8A6A|scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est.|massa. Suspendisse eleifend. Cras sed leo. Cras vehicula aliquet libero.|In scelerisque scelerisque
3A629928-CBC3-D4BF-D093-025AEFC62C5D|iaculis, lacus pede sagittis augue, eu tempor|sem molestie sodales. Mauris blandit enim|ad litora torquent per conubia nostra, per inceptos hymenaeos.
74FC8818-1526-2478-3861-C79FEA586D38|fringilla ornare placerat, orci lacus|quis lectus. Nullam suscipit, est ac|dignissim tempor
4F492F71-9990-D072-9776-AC9704DF616D|Nam consequat dolor|a ultricies|lobortis quam a
9CC24CD0-8117-7924-7D78-0E716FB3F2D4|magna|et|malesuada malesuada. Integer id magna et ipsum cursus vestibulum.
81881654-AAC3-FFC7-7E51-E974F3C8C5CA|dis parturient montes, nascetur ridiculus mus. Proin vel arcu|egestas blandit. Nam|mauris ipsum porta elit,
4CBC5823-ED07-CD49-9FEF-ABA59E016246|Duis at lacus. Quisque purus|a, malesuada id, erat. Etiam vestibulum|mi
95D41DE8-73EF-F1D6-2B18-9DC1F0C2FBB2|id enim. Curabitur massa. Vestibulum accumsan|placerat,|Cras eu tellus eu augue
46AD11D5-B36D-34F9-7C3A-62980C0EDBE8|nulla. Cras|risus. Nunc ac|velit in aliquet lobortis, nisi nibh
74504E53-A6DC-465F-AAEF-9547E95CAF93|nec|velit dui, semper et, lacinia vitae,|mi lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy
93B3464A-A71D-2E1D-BF06-34017DAAD1A2|elit. Nulla facilisi. Sed neque. Sed eget lacus. Mauris|sem magna nec quam. Curabitur vel lectus.|massa. Quisque porttitor eros
0434A084-4FB9-3CA4-BBDB-05F458449875|augue porttitor interdum. Sed auctor odio|cubilia Curae; Phasellus|Phasellus dolor elit, pellentesque a, facilisis
8DB36971-2A11-3E4C-827B-A3E46972B7AD|augue. Sed molestie.|nunc est, mollis non, cursus non, egestas a, dui.|tempor augue ac ipsum. Phasellus vitae mauris sit
FC1A5E45-70D3-8ADE-CF2F-AAC2AB2D5C83|massa. Mauris vestibulum, neque sed dictum eleifend,|non,|amet ultricies sem magna nec quam. Curabitur vel
C0FAA693-0DEF-32A7-A7D7-4FBDD8AE4D05|pede,|ante. Nunc mauris sapien, cursus in, hendrerit consectetuer,|ut erat.
1141BE76-117D-E9B6-EC29-BD81C699ADD8|massa. Quisque porttitor eros|malesuada fringilla|ac tellus. Suspendisse sed dolor. Fusce mi lorem, vehicula et,
4699FF1B-1104-8982-69AC-76FB6FBDBD6C|non, bibendum sed, est. Nunc|et magnis dis parturient montes, nascetur ridiculus mus. Proin|Nunc quis arcu vel
88BC26FE-616C-54C5-672A-5D98F9515BFD|Nullam lobortis quam a felis|conubia|dolor. Fusce mi lorem, vehicula et, rutrum eu, ultrices
04EFEAB3-7363-BB90-9C85-21F77CA2B96A|tempus|posuere vulputate, lacus. Cras interdum. Nunc sollicitudin commodo ipsum. Suspendisse|turpis nec mauris
F3E9AFCF-4B39-4CF5-9F29-A6848E8418E2|torquent per conubia nostra, per inceptos hymenaeos. Mauris|consequat|dolor. Nulla semper tellus id nunc interdum
BBA58E3A-7313-D577-3B11-1376D1ED9BD5|nibh dolor, nonummy ac,|cursus purus. Nullam scelerisque neque sed sem|interdum
8194242A-BA01-6F03-C071-8F8228FA20B7|tempus non, lacinia at, iaculis|egestas ligula. Nullam feugiat|consequat purus. Maecenas
37B9C8B1-CEFC-C9F8-FBB7-0B3967455191|Maecenas ornare egestas ligula. Nullam feugiat placerat velit.|Donec elementum, lorem ut aliquam iaculis, lacus pede sagittis augue,|lacus.
9DCD4500-BAD1-D1CE-B26A-77244E5FF0E1|ut|quis|lobortis risus. In mi
F7284C11-6D7B-2E4E-627A-323F3DACF54F|Donec nibh enim,|posuere, enim|arcu. Aliquam ultrices iaculis odio. Nam interdum enim
4FB19540-2154-6E5E-A13B-C3F2A4658366|quis accumsan convallis, ante lectus convallis est, vitae sodales|eu arcu. Morbi sit amet massa. Quisque porttitor|viverra. Donec tempus, lorem fringilla ornare
7AD50817-1EEA-ABC9-F8AE-B932D538A2DD|ipsum porta|gravida.|non justo. Proin non
DCB584D9-2BEC-C8D0-3E76-304F56173FCC|ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula.|Donec sollicitudin adipiscing ligula. Aenean|magna. Duis
DA98B140-03B1-5B2F-A0A4-BD584AFF4FA7|tellus lorem eu metus. In lorem. Donec elementum, lorem|egestas. Sed pharetra, felis eget varius|est. Nunc ullamcorper, velit in aliquet lobortis, nisi
349F0D1B-5620-604D-830F-7D30CB0C669D|varius orci, in consequat enim diam vel arcu.|ac risus. Morbi metus. Vivamus euismod urna. Nullam|et, eros. Proin ultrices. Duis volutpat nunc sit
AC479507-3B0A-C953-826C-71E8B6CF8BC4|Nulla eget|arcu. Vestibulum ut|ac arcu. Nunc mauris. Morbi non sapien
BD390249-C9AC-F2FA-72EE-5B5929139CA7|tortor. Integer aliquam adipiscing lacus.|risus. Donec egestas. Duis|Praesent eu nulla at sem
5C9D31ED-E117-7506-8B29-22F1689A9511|nunc ac mattis ornare, lectus ante dictum|est arcu|augue
010BCC77-211C-A627-CAE8-4458002F89D8|mauris sapien, cursus in, hendrerit consectetuer, cursus et, magna.|non, lobortis quis,|Curabitur vel lectus. Cum sociis natoque
F09DB1BF-D097-045B-E7DC-E3DEA9DD4E6A|sit amet, risus. Donec nibh enim, gravida sit|sodales purus, in molestie tortor nibh sit amet|Mauris ut quam vel sapien imperdiet ornare.
AF2818BC-2396-4701-BBBF-8B752F58C07F|dolor. Donec fringilla. Donec feugiat metus sit amet ante. Vivamus|Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer|et tristique pellentesque, tellus sem mollis dui, in
C11B6CD1-F3E7-28BB-EE70-1712604269EE|aliquam arcu. Aliquam ultrices iaculis|rhoncus.|vel quam
7729B165-DC23-708D-74DE-2609D4F693BC|euismod|ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis lacus.|ligula
9C1F626A-4D5D-67D3-167A-C610AEB32083|lorem ut aliquam iaculis, lacus pede sagittis|iaculis|felis ullamcorper viverra.
5D81CA44-8346-F635-3DED-AA7DF0DC2790|et, eros. Proin ultrices. Duis volutpat|enim nec tempus scelerisque, lorem ipsum sodales purus, in|Maecenas libero est, congue a, aliquet vel, vulputate eu, odio.
7CC9FF37-BE33-7536-E1B0-338BE7DAB1F7|tellus lorem eu metus. In lorem. Donec elementum,|lectus.|scelerisque mollis. Phasellus libero
0462E36B-2BF4-9501-9852-425AA96748FB|egestas. Sed pharetra, felis|congue, elit sed consequat auctor, nunc nulla vulputate dui, nec|semper et, lacinia
760F9FEA-0460-6487-8AB1-B7EF3DD72438|Donec sollicitudin adipiscing ligula. Aenean|Aliquam ultrices iaculis odio. Nam interdum enim|magna. Suspendisse tristique
C1663A7E-6E03-BDDB-B9A9-EA9E292C51CB|libero. Donec consectetuer|enim nisl elementum purus, accumsan interdum libero|euismod enim. Etiam gravida molestie arcu. Sed
C2B6BBFD-8734-BBC1-7328-124C5C0C004A|quis massa. Mauris vestibulum, neque sed dictum eleifend,|in sodales elit erat vitae risus. Duis a mi fringilla|amet metus. Aliquam erat volutpat. Nulla
00CC3C7A-70C0-6B62-146A-31B6EC9DEF0D|sed|tellus. Nunc lectus pede,|massa. Integer vitae nibh. Donec est mauris, rhoncus id,
7C312D45-8E8A-7BF8-6DBF-658D02ABCAF3|feugiat placerat velit.|Donec felis orci, adipiscing non, luctus sit amet, faucibus ut,|blandit enim consequat purus. Maecenas
A3017980-3A64-0AEC-0F1B-FF5378DE00D9|sagittis|imperdiet non, vestibulum nec, euismod in,|mus. Proin
00D7390D-3A92-5EF9-A4BB-27FB68104887|adipiscing ligula.|quam quis diam. Pellentesque habitant morbi tristique senectus et netus|ornare. Fusce mollis. Duis sit amet
DBC30AB4-FF81-45A2-0360-AE0133852FB1|vel quam dignissim pharetra. Nam ac|dolor sit amet, consectetuer adipiscing elit.|Aenean gravida nunc sed pede.
EF38A98B-06B0-E837-CC88-93A479454D18|condimentum eget, volutpat ornare, facilisis eget, ipsum.|ridiculus mus. Donec dignissim magna|et netus et malesuada fames ac turpis
FAA50C9C-CA01-EE93-E659-08BE4A809503|sapien,|eu dolor|adipiscing elit. Aliquam auctor,
18E42413-C9B6-9B94-4575-93C4A690819E|pede. Suspendisse dui.|a neque. Nullam ut|arcu eu odio
4F0186C6-BC22-5039-5605-E1F057D4F665|elementum sem, vitae aliquam eros turpis|Aenean massa. Integer vitae nibh. Donec est mauris, rhoncus|ut cursus luctus, ipsum leo elementum sem, vitae aliquam eros
0AD7EBDE-9EEB-83A5-72C9-5A67027A0F57|rutrum lorem ac risus. Morbi metus. Vivamus euismod urna. Nullam|magna. Cras convallis convallis dolor. Quisque|vulputate, nisi sem semper erat, in
A3343623-A5D0-BB45-5A72-0D0ECE1E46C5|mauris a nunc. In at pede. Cras vulputate|pulvinar arcu|Aenean
86E8FF58-3088-0761-6EA2-8F21A1CDB068|tellus.|Aenean massa. Integer vitae nibh.|sagittis augue, eu
4618E9C1-C8ED-8A70-7D80-B8CAC11AD5D5|dapibus|urna justo faucibus lectus,|Curabitur dictum. Phasellus in felis. Nulla tempor augue ac ipsum.
2C104CA7-4D1E-4DF3-086E-23F3F273998B|non, luctus sit|Aliquam ultrices iaculis odio. Nam interdum enim non nisi. Aenean|venenatis a, magna. Lorem ipsum dolor
637D1795-8C59-DB62-06F4-00FEA691CC93|nec, euismod in, dolor. Fusce feugiat. Lorem|malesuada augue ut lacus.|egestas ligula. Nullam feugiat placerat velit.
18741255-0F87-8C36-DE96-D520F96981E1|sit amet lorem semper auctor. Mauris vel turpis.|Aliquam tincidunt, nunc ac mattis ornare, lectus ante dictum|rhoncus. Donec est. Nunc ullamcorper, velit in aliquet lobortis,
FB761E16-0818-C8A3-D89A-DA7A4B635035|consequat enim diam vel|vulputate eu, odio. Phasellus at|Integer urna. Vivamus molestie dapibus ligula. Aliquam erat volutpat. Nulla
25387E4A-33B4-5CF5-8406-01AF975AE0B6|Phasellus vitae mauris sit amet lorem semper auctor. Mauris|convallis|turpis nec mauris blandit
BAE1B0AD-754B-94DB-9E82-016EB95C75FA|pede sagittis augue, eu tempor erat neque|mauris sit amet lorem semper auctor. Mauris|Donec non justo. Proin
CE221741-E14A-B1C1-3CBA-CE84DB431D56|Mauris molestie pharetra nibh. Aliquam ornare,|semper|mollis vitae, posuere at,
C5F5DA95-7A13-0FAF-A79A-7EEEDB8AB5F4|Morbi non sapien molestie|nibh. Quisque nonummy ipsum non arcu. Vivamus sit amet|et ultrices posuere cubilia Curae; Phasellus ornare. Fusce mollis.
67006CE4-4868-9683-6D2E-6F1DBBFAC1A1|Donec luctus aliquet odio. Etiam ligula tortor,|pede. Cum sociis natoque penatibus|massa. Suspendisse
FC3B7CBB-04C6-75F6-FBA6-82EEF13BC257|gravida. Praesent eu nulla|at risus.|nisl sem, consequat nec, mollis
074AAE6C-AB16-4429-7C42-2FD46CBE8A88|porttitor tellus non magna. Nam|Nunc commodo auctor velit. Aliquam nisl. Nulla eu|Nam
CA2D84F6-24DC-CDDB-6CF0-FF40C5BEA059|Proin velit. Sed malesuada augue ut|dictum eu, placerat eget, venenatis a, magna. Lorem|tempor
78E9A233-A58F-96A6-8005-C66BB0915A8F|diam vel|neque. Nullam ut nisi|vitae odio sagittis semper. Nam tempor diam
500A4715-0C24-CC72-E580-3E843C7B7D3E|gravida sit amet,|nunc|Donec nibh enim, gravida sit amet, dapibus id, blandit at,
B050FC7C-9AC3-C547-E1DB-1FE8BCB042A7|varius et, euismod|nulla ante, iaculis nec, eleifend non, dapibus rutrum, justo.|at pede. Cras vulputate velit eu sem. Pellentesque ut ipsum
5B42A5C8-FC47-F1C2-CF5F-5C3E555A2D7C|cubilia Curae; Phasellus ornare. Fusce|facilisis vitae, orci. Phasellus dapibus|luctus,
E38FB51D-8F1E-76FF-2536-5E335630A4A4|Nunc quis arcu vel quam dignissim pharetra.|sem|lacinia mattis. Integer eu
E7D91816-36EF-D52F-77FE-0768939BE9AE|nisi magna sed dui. Fusce aliquam, enim nec|sit amet|risus quis diam luctus
131FCAA4-8258-67EC-135B-735C545E45E9|odio sagittis semper. Nam tempor diam|venenatis|convallis est, vitae sodales
1E5C7733-AF3A-E0D5-FE02-E365EE49A366|tempus mauris erat eget ipsum. Suspendisse|Sed congue,|velit
EC1D4085-DDC4-EC03-9345-9C94D8766DD0|dignissim tempor arcu. Vestibulum ut eros|nibh. Aliquam ornare,|porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est.
2A32E3B2-8153-557E-FE7A-157C7F7A9C9E|non justo. Proin non massa non ante|non enim commodo hendrerit. Donec|rutrum eu, ultrices sit amet, risus.
C17AE0E4-5D56-6DA0-8308-F95087C75FDF|eget, dictum placerat,|commodo at, libero. Morbi accumsan laoreet ipsum.|sem ut cursus luctus, ipsum leo
6DDE5750-2600-FF2E-C38A-0615AF2816C8|Sed congue, elit sed consequat auctor, nunc nulla|amet massa. Quisque porttitor eros nec tellus. Nunc|faucibus orci luctus
E62E1FE2-3321-BF71-1CA1-0EEFFE4A9588|amet metus. Aliquam erat|hymenaeos. Mauris ut quam|egestas. Sed pharetra,